timestamp,station_id,temperature_c,humidite_rel_pct,pression_kpa,direction_vent_deg,vitesse_vent_kmh,condition_meteo
2026-09-01 00:00:00,YUL_AEROPORT_MTL,16.3,79,101.4,177,15.8,Ensoleille
2026-09-01 01:00:00,MCGILL_CENTRE_VILLE,16.9,86,101.16,185,14.3,Ensoleille
2026-09-01 02:00:00,STE_ANNE_BELLEVUE,15.6,81,101.35,174,18.5,Ensoleille
2026-09-01 03:00:00,PARC_JEAN_DRAPEAU,17.5,86,101.34,190,18.7,Ensoleille
2026-09-01 04:00:00,YUL_AEROPORT_MTL,18.0,78,101.5,183,19.6,Ensoleille
2026-09-01 05:00:00,MCGILL_CENTRE_VILLE,17.2,79,101.3,191,14.8,Ensoleille
2026-09-01 06:00:00,STE_ANNE_BELLEVUE,17.6,81,101.58,202,16.1,Ensoleille
2026-09-01 07:00:00,PARC_JEAN_DRAPEAU,17.1,83,101.47,197,14.6,Ensoleille
2026-09-01 08:00:00,YUL_AEROPORT_MTL,18.0,80,101.51,189,14.4,Ensoleille
2026-09-01 09:00:00,MCGILL_CENTRE_VILLE,18.1,78,101.7,196,20.9,Ensoleille
2026-09-01 10:00:00,STE_ANNE_BELLEVUE,18.7,80,101.58,202,15.3,Ensoleille
2026-09-01 11:00:00,PARC_JEAN_DRAPEAU,19.0,75,101.63,213,14.6,Ensoleille
2026-09-01 12:00:00,YUL_AEROPORT_MTL,19.9,78,101.66,200,17.7,Partiellement nuageux
2026-09-01 13:00:00,MCGILL_CENTRE_VILLE,19.3,77,101.48,207,20.7,Partiellement nuageux
2026-09-01 14:00:00,STE_ANNE_BELLEVUE,20.8,71,101.75,208,17.2,Partiellement nuageux
2026-09-01 15:00:00,PARC_JEAN_DRAPEAU,19.3,71,101.52,215,17.2,Partiellement nuageux
2026-09-01 16:00:00,YUL_AEROPORT_MTL,21.6,72,101.52,206,16.0,Partiellement nuageux
2026-09-01 17:00:00,MCGILL_CENTRE_VILLE,21.0,67,101.78,216,21.2,Partiellement nuageux
2026-09-01 18:00:00,STE_ANNE_BELLEVUE,20.9,65,101.9,209,18.1,Partiellement nuageux
2026-09-01 19:00:00,PARC_JEAN_DRAPEAU,20.4,60,101.87,210,19.0,Partiellement nuageux
2026-09-01 20:00:00,YUL_AEROPORT_MTL,22.3,65,101.78,219,17.1,Partiellement nuageux
2026-09-01 21:00:00,MCGILL_CENTRE_VILLE,22.9,65,101.67,226,20.9,Partiellement nuageux
2026-09-01 22:00:00,STE_ANNE_BELLEVUE,20.8,57,101.86,227,20.0,Partiellement nuageux
2026-09-01 23:00:00,PARC_JEAN_DRAPEAU,22.8,59,101.65,224,15.3,Partiellement nuageux
2026-09-02 00:00:00,YUL_AEROPORT_MTL,21.1,57,102.02,216,18.1,Nuageux
2026-09-02 01:00:00,MCGILL_CENTRE_VILLE,21.5,56,101.98,228,18.9,Nuageux
2026-09-02 02:00:00,STE_ANNE_BELLEVUE,21.8,52,101.88,229,21.3,Nuageux
2026-09-02 03:00:00,PARC_JEAN_DRAPEAU,23.0,56,101.69,224,21.0,Nuageux
2026-09-02 04:00:00,YUL_AEROPORT_MTL,23.7,52,101.8,221,21.0,Nuageux
2026-09-02 05:00:00,MCGILL_CENTRE_VILLE,24.1,48,102.02,216,21.8,Nuageux
2026-09-02 06:00:00,STE_ANNE_BELLEVUE,23.2,48,101.79,229,21.6,Nuageux
2026-09-02 07:00:00,PARC_JEAN_DRAPEAU,22.4,53,102.11,227,21.7,Nuageux
2026-09-02 08:00:00,YUL_AEROPORT_MTL,24.3,47,102.07,226,22.0,Nuageux
2026-09-02 09:00:00,MCGILL_CENTRE_VILLE,23.7,51,102.16,228,15.0,Nuageux
2026-09-02 10:00:00,STE_ANNE_BELLEVUE,22.8,48,101.82,231,15.8,Nuageux
2026-09-02 11:00:00,PARC_JEAN_DRAPEAU,22.8,44,102.12,215,15.8,Nuageux
2026-09-02 12:00:00,YUL_AEROPORT_MTL,24.5,48,101.88,220,16.2,Couvert
2026-09-02 13:00:00,MCGILL_CENTRE_VILLE,23.5,51,101.92,231,18.6,Couvert
2026-09-02 14:00:00,STE_ANNE_BELLEVUE,22.9,50,102.21,218,14.8,Couvert
2026-09-02 15:00:00,PARC_JEAN_DRAPEAU,23.9,48,102.07,225,20.9,Couvert
2026-09-02 16:00:00,YUL_AEROPORT_MTL,22.4,44,101.94,220,20.4,Couvert
2026-09-02 17:00:00,MCGILL_CENTRE_VILLE,22.5,46,102.01,223,15.1,Couvert
2026-09-02 18:00:00,STE_ANNE_BELLEVUE,22.6,51,102.04,210,17.5,Couvert
2026-09-02 19:00:00,PARC_JEAN_DRAPEAU,24.2,52,102.0,227,22.0,Couvert
2026-09-02 20:00:00,YUL_AEROPORT_MTL,24.0,46,102.34,213,15.3,Couvert
2026-09-02 21:00:00,MCGILL_CENTRE_VILLE,23.1,49,102.33,206,15.3,Couvert
2026-09-02 22:00:00,STE_ANNE_BELLEVUE,21.9,53,102.11,217,16.3,Couvert
2026-09-02 23:00:00,PARC_JEAN_DRAPEAU,23.4,56,102.28,217,15.2,Couvert
2026-09-03 00:00:00,YUL_AEROPORT_MTL,22.3,49,102.26,217,14.5,Pluie legere
2026-09-03 01:00:00,MCGILL_CENTRE_VILLE,22.2,50,102.27,214,21.4,Pluie legere
2026-09-03 02:00:00,STE_ANNE_BELLEVUE,22.6,51,102.43,198,20.8,Pluie legere
2026-09-03 03:00:00,PARC_JEAN_DRAPEAU,21.3,53,102.33,202,17.2,Pluie legere
2026-09-03 04:00:00,YUL_AEROPORT_MTL,23.3,57,102.3,194,19.0,Pluie legere
2026-09-03 05:00:00,MCGILL_CENTRE_VILLE,21.8,63,102.21,199,15.6,Pluie legere
2026-09-03 06:00:00,STE_ANNE_BELLEVUE,22.4,60,102.2,193,19.4,Pluie legere
2026-09-03 07:00:00,PARC_JEAN_DRAPEAU,21.2,63,102.47,189,14.1,Pluie legere
2026-09-03 08:00:00,YUL_AEROPORT_MTL,21.7,61,102.14,191,18.0,Pluie legere
2026-09-03 09:00:00,MCGILL_CENTRE_VILLE,20.3,66,102.47,189,17.0,Pluie legere
2026-09-03 10:00:00,STE_ANNE_BELLEVUE,20.2,71,102.41,199,21.9,Pluie legere
2026-09-03 11:00:00,PARC_JEAN_DRAPEAU,21.5,72,102.14,195,16.4,Pluie legere
2026-09-03 12:00:00,YUL_AEROPORT_MTL,20.9,68,102.25,179,19.9,Averses
2026-09-03 13:00:00,MCGILL_CENTRE_VILLE,19.4,71,102.39,184,15.6,Averses
2026-09-03 14:00:00,STE_ANNE_BELLEVUE,20.3,72,102.36,179,21.2,Averses
2026-09-03 15:00:00,PARC_JEAN_DRAPEAU,20.5,71,102.42,177,14.4,Averses
2026-09-03 16:00:00,YUL_AEROPORT_MTL,19.0,73,102.42,175,15.3,Averses
2026-09-03 17:00:00,MCGILL_CENTRE_VILLE,19.0,78,102.4,168,14.6,Averses
2026-09-03 18:00:00,STE_ANNE_BELLEVUE,19.8,75,102.4,173,18.7,Averses
2026-09-03 19:00:00,PARC_JEAN_DRAPEAU,17.7,76,102.2,171,21.2,Averses
2026-09-03 20:00:00,YUL_AEROPORT_MTL,19.0,75,102.55,164,19.5,Averses
2026-09-03 21:00:00,MCGILL_CENTRE_VILLE,18.4,81,102.5,169,21.8,Averses
2026-09-03 22:00:00,STE_ANNE_BELLEVUE,18.3,80,102.54,159,21.1,Averses
2026-09-03 23:00:00,PARC_JEAN_DRAPEAU,16.2,82,102.51,165,20.4,Averses
2026-09-04 00:00:00,YUL_AEROPORT_MTL,17.9,81,102.3,153,17.1,Degage
2026-09-04 01:00:00,MCGILL_CENTRE_VILLE,15.6,85,102.29,162,16.8,Degage
2026-09-04 02:00:00,STE_ANNE_BELLEVUE,17.2,81,102.29,152,17.2,Degage
2026-09-04 03:00:00,PARC_JEAN_DRAPEAU,15.6,79,102.59,152,16.8,Degage
2026-09-04 04:00:00,YUL_AEROPORT_MTL,15.8,86,102.33,142,14.9,Degage
2026-09-04 05:00:00,MCGILL_CENTRE_VILLE,16.6,80,102.43,148,14.3,Degage
2026-09-04 06:00:00,STE_ANNE_BELLEVUE,15.4,83,102.49,149,17.5,Degage
2026-09-04 07:00:00,PARC_JEAN_DRAPEAU,16.0,79,102.35,155,15.5,Degage
2026-09-04 08:00:00,YUL_AEROPORT_MTL,13.5,83,102.2,152,19.5,Degage
2026-09-04 09:00:00,MCGILL_CENTRE_VILLE,15.3,80,102.34,136,21.6,Degage
2026-09-04 10:00:00,STE_ANNE_BELLEVUE,15.0,81,102.45,136,19.8,Degage
2026-09-04 11:00:00,PARC_JEAN_DRAPEAU,13.2,79,102.45,141,17.2,Degage
2026-09-04 12:00:00,YUL_AEROPORT_MTL,12.9,76,102.26,142,19.4,Ensoleille
2026-09-04 13:00:00,MCGILL_CENTRE_VILLE,14.0,77,102.34,129,16.4,Ensoleille
2026-09-04 14:00:00,STE_ANNE_BELLEVUE,12.1,77,102.36,142,19.4,Ensoleille
2026-09-04 15:00:00,PARC_JEAN_DRAPEAU,12.5,73,102.43,136,18.1,Ensoleille
2026-09-04 16:00:00,YUL_AEROPORT_MTL,12.6,74,102.2,134,19.4,Ensoleille
2026-09-04 17:00:00,MCGILL_CENTRE_VILLE,11.3,71,102.22,127,16.0,Ensoleille
2026-09-04 18:00:00,STE_ANNE_BELLEVUE,11.7,68,102.33,146,18.6,Ensoleille
2026-09-04 19:00:00,PARC_JEAN_DRAPEAU,12.0,71,102.34,132,15.2,Ensoleille
2026-09-04 20:00:00,YUL_AEROPORT_MTL,11.7,65,102.45,132,15.4,Ensoleille
2026-09-04 21:00:00,MCGILL_CENTRE_VILLE,12.1,70,102.31,142,16.0,Ensoleille
2026-09-04 22:00:00,STE_ANNE_BELLEVUE,11.6,68,102.17,139,19.3,Ensoleille
2026-09-04 23:00:00,PARC_JEAN_DRAPEAU,11.7,64,102.49,139,18.9,Ensoleille
2026-09-05 00:00:00,YUL_AEROPORT_MTL,10.9,66,102.27,142,17.6,Partiellement nuageux
2026-09-05 01:00:00,MCGILL_CENTRE_VILLE,9.3,63,102.27,132,20.7,Partiellement nuageux
2026-09-05 02:00:00,STE_ANNE_BELLEVUE,9.4,63,102.27,132,16.2,Partiellement nuageux
2026-09-05 03:00:00,PARC_JEAN_DRAPEAU,8.7,58,102.16,136,16.6,Partiellement nuageux
2026-09-05 04:00:00,YUL_AEROPORT_MTL,9.7,54,102.12,138,19.6,Partiellement nuageux
2026-09-05 05:00:00,MCGILL_CENTRE_VILLE,9.9,52,102.21,137,18.3,Partiellement nuageux
2026-09-05 06:00:00,STE_ANNE_BELLEVUE,9.1,53,102.37,140,21.2,Partiellement nuageux
2026-09-05 07:00:00,PARC_JEAN_DRAPEAU,9.4,49,102.37,147,17.0,Partiellement nuageux
2026-09-05 08:00:00,YUL_AEROPORT_MTL,7.8,52,102.13,142,20.8,Partiellement nuageux
2026-09-05 09:00:00,MCGILL_CENTRE_VILLE,10.0,52,102.21,148,20.4,Partiellement nuageux
2026-09-05 10:00:00,STE_ANNE_BELLEVUE,9.8,53,102.07,145,17.9,Partiellement nuageux
2026-09-05 11:00:00,PARC_JEAN_DRAPEAU,8.5,51,102.26,147,21.4,Partiellement nuageux
